session,speaker,voice,noise
01,A,0.010158206140666098,0.006055988186599711
01,B,0.008827039063429496,0.0035422144484438013
02,A,0.006364785827169885,0.0040677204873793915
02,B,0.005787594506197966,0.003766021517744041
03,A,0.006881824054481807,0.002092423874544767
03,B,0.006312429177056578,0.003196467171277401
04,A,0.002504321002772215,0.0029845165467170514
04,B,0.0030919100264153398,0.0020192583287126542
05,A,0.0013580519277067197,0.0006461762747504915
05,B,0.0012866798626543817,0.0006231966327664092
06,A,0.0024850844444129216,0.0011683724801349572
06,B,0.002675540319686297,0.0017825023156296937
07,A,0.005132387240399687,0.001537962256652283
07,B,0.005264986618834969,0.0018442056114673015
08,A,0.005360955190112157,0.0011939275599934102
08,B,0.0032697766373973054,0.0011247097869205116
09,A,0.0073213346749665615,0.004700925865379317
09,B,0.003784092616150158,0.0015459686114191447
10,A,0.005793581146561246,0.0023102462651519496
10,B,0.004559685189853063,0.0012885795905257247
11,A,0.002178142321789215,0.001250888146909404
11,B,0.008858492623840801,0.004868631272549704
12,A,0.0020922605950460145,0.0010991043882281767
12,B,0.0032503223325651173,0.0017279769710907536
