session,speaker,voice,noise,topsim,posdis
1,A,0.010158206,0.006055988,0.489495177,0.061991517
1,B,0.008827039,0.003542214,0.489495177,0.061991517
2,A,0.006364786,0.00406772,0.267753085,0.03014614
2,B,0.005787595,0.003766022,0.267753085,0.03014614
3,A,0.006881824,0.002092424,0.252772044,0.024906096
3,B,0.006312429,0.003196467,0.252772044,0.024906096
4,A,0.002504321,0.002984517,0.567286836,0.038723256
4,B,0.00309191,0.002019258,0.567286836,0.038723256
5,A,0.001358052,0.000646176,0.320846838,0.020184266
5,B,0.00128668,0.000623197,0.320846838,0.020184266
6,A,0.002485084,0.001168372,0.324302074,0.035874419
6,B,0.00267554,0.001782502,0.324302074,0.035874419
7,A,0.005132387,0.001537962,0.254897046,0.040814274
7,B,0.005264987,0.001844206,0.254897046,0.040814274
8,A,0.005360955,0.001193928,0.302244579,0.052960602
8,B,0.003269777,0.00112471,0.302244579,0.052960602
9,A,0.007321335,0.004700926,0.14110183,0.06377649
9,B,0.003784093,0.001545969,0.14110183,0.06377649
10,A,0.005793581,0.002310246,0.29101719,0.077299628
10,B,0.004559685,0.00128858,0.29101719,0.077299628
11,A,0.002178142,0.001250888,0.149955995,0.020612333
11,B,0.008858493,0.004868631,0.149955995,0.020612333
12,A,0.002092261,0.001099104,0.228451758,0.091025143
12,B,0.003250322,0.001727977,0.228451758,0.091025143
